county,date,vaccines_started,vaccines_completed
Adams,2020-12-14,0,0
Adams,2020-12-15,0,0
Adams,2020-12-16,0,0
Adams,2020-12-17,0,0
Adams,2020-12-18,4,0
Adams,2020-12-19,5,0
Adams,2020-12-20,0,0
Adams,2020-12-21,1,0
Adams,2020-12-22,9,0
Adams,2020-12-23,20,0
Adams,2020-12-24,7,0
Adams,2020-12-25,0,0
Adams,2020-12-26,4,0
Adams,2020-12-27,4,0
Adams,2020-12-28,69,0
Adams,2020-12-29,73,0
Adams,2020-12-30,50,0
Adams,2020-12-31,18,0
Adams,2021-01-01,0,0
Adams,2021-01-02,4,0
Adams,2021-01-03,0,0
Adams,2021-01-04,17,0
Adams,2021-01-05,24,0
Adams,2021-01-06,76,0
Adams,2021-01-07,47,0
Adams,2021-01-08,28,9
Adams,2021-01-09,0,0
Adams,2021-01-10,0,0
Adams,2021-01-11,23,1
Adams,2021-01-12,40,2
Adams,2021-01-13,20,2
Adams,2021-01-14,35,0
Adams,2021-01-15,31,0
Adams,2021-01-16,0,1
Adams,2021-01-17,1,2
Adams,2021-01-18,10,43
Adams,2021-01-19,138,33
Adams,2021-01-20,44,9
Adams,2021-01-21,39,31
Adams,2021-01-22,155,2
Adams,2021-01-23,6,3
Adams,2021-01-24,0,0
Adams,2021-01-25,96,11
Adams,2021-01-26,43,17
Adams,2021-01-27,49,108
Adams,2021-01-28,41,5
Adams,2021-01-29,196,14
Adams,2021-01-30,2,1
Adams,2021-01-31,2,0
Adams,2021-02-01,71,7
Adams,2021-02-02,41,39
Adams,2021-02-03,24,21
Adams,2021-02-04,34,27
Adams,2021-02-05,142,19
Adams,2021-02-06,7,1
Adams,2021-02-07,1,1
Adams,2021-02-08,111,53
Adams,2021-02-09,42,21
Adams,2021-02-10,48,10
Adams,2021-02-11,40,15
Adams,2021-02-12,253,147
Adams,2021-02-13,4,4
Adams,2021-02-14,1,0
Adams,2021-02-15,24,2
Adams,2021-02-16,6,3
Adams,2021-02-17,24,49
Adams,2021-02-18,9,40
Adams,2021-02-19,9,197
Adams,2021-02-20,3,2
Adams,2021-02-21,1,2
Adams,2021-02-22,64,28
Adams,2021-02-23,114,143
Adams,2021-02-24,91,51
Adams,2021-02-25,34,28
Adams,2021-02-26,142,160
Adams,2021-02-27,4,2
Adams,2021-02-28,1,1
Adams,2021-03-01,29,76
Adams,2021-03-02,22,26
Adams,2021-03-03,27,33
Adams,2021-03-04,50,45
Adams,2021-03-05,172,39
Adams,2021-03-06,36,38
Adams,2021-03-07,7,7
Adams,2021-03-08,47,89
Adams,2021-03-09,16,23
Adams,2021-03-10,0,0
Allen ,2020-12-14,0,0
Allen ,2020-12-15,3,0
Allen ,2020-12-16,0,0
Allen ,2020-12-17,2,0
Allen ,2020-12-18,1,0
Allen ,2020-12-19,1,0
Allen ,2020-12-20,0,0
Allen ,2020-12-21,5,0
Allen ,2020-12-22,79,0
Allen ,2020-12-23,129,0
Allen ,2020-12-24,65,0
Allen ,2020-12-25,1,0
Allen ,2020-12-26,15,0
Allen ,2020-12-27,0,0
Allen ,2020-12-28,328,0
Allen ,2020-12-29,177,0
Allen ,2020-12-30,297,0
Allen ,2020-12-31,83,0
Allen ,2021-01-01,7,0
Allen ,2021-01-02,8,0
Allen ,2021-01-03,1,0
Allen ,2021-01-04,395,0
Allen ,2021-01-05,214,3
Allen ,2021-01-06,165,1
Allen ,2021-01-07,345,2
Allen ,2021-01-08,261,2
Allen ,2021-01-09,229,2
Allen ,2021-01-10,23,0
Allen ,2021-01-11,236,5
Allen ,2021-01-12,295,38
Allen ,2021-01-13,110,7
Allen ,2021-01-14,232,6
Allen ,2021-01-15,179,3
Allen ,2021-01-16,8,8
Allen ,2021-01-17,5,1
Allen ,2021-01-18,60,86
Allen ,2021-01-19,334,74
Allen ,2021-01-20,648,149
Allen ,2021-01-21,364,32
Allen ,2021-01-22,251,33
Allen ,2021-01-23,164,3
Allen ,2021-01-24,31,0
Allen ,2021-01-25,167,443
Allen ,2021-01-26,177,229
Allen ,2021-01-27,151,215
